Media_ID,Title,Region,Genre,Has_Updates,Status,Updates_Count,XML_Updates,Direct_Updates,Total_Size_MB,Update_Version,Update_URL,Update_SHA1,Update_Size_MB,Update_Filename,Update_Type
PCSA00038,Cliff Diving,US,Sports » General,True,success,1,0,0,56.19801330566406,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00038/PCSA00038_T0/f98886fa61ec970c/UP9000-PCSA00038_00-CLIFFDIVING00001-A0101-V0100-c116c68713d62c5672cc1121d0b91efa54fac29f-PE.pkg,71DBE2873037D1E39CABC7C681B199CF79400872,56.19801330566406,UP9000-PCSA00038_00-CLIFFDIVING00001-A0101-V0100-c116c68713d62c5672cc1121d0b91efa54fac29f-PE.pkg,XML Direct Link
PCSG00006,Power Smash 4,JP,Sports » Traditional » Tennis,True,success,1,0,0,2.82305908203125,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00006/PCSG00006_T3/7b35f666dcf03aad/JP0177-PCSG00006_00-PS40000000000001-A0101-V0100-fdb242db69399862d481fe349862b789da7f5d7e-PE.pkg,57AD6C154CB2F83A7E93F5020AF0D06680404868,2.82305908203125,JP0177-PCSG00006_00-PS40000000000001-A0101-V0100-fdb242db69399862d481fe349862b789da7f5d7e-PE.pkg,XML Direct Link
PCSA00037,Fireworks,US,Miscellaneous » General,False,no_updates,0,0,0,0.0,,,,,,
PCSG00002,Shin Sangoku Musou Next,JP,Action » Beat-'Em-Up,True,success,1,0,0,3.330902099609375,02.04,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00002/PCSG00002_T6/8870b72fd908ef78/JP0106-PCSG00002_00-MUSOUNEXT0000000-A0204-V0100-b7d1805185d422a0ab599a42d6ea2f9df83ba43c-PE.pkg,0175AA93C5825D85B65984A8B38871067F07434C,3.330902099609375,JP0106-PCSG00002_00-MUSOUNEXT0000000-A0204-V0100-b7d1805185d422a0ab599a42d6ea2f9df83ba43c-PE.pkg,XML Direct Link
PCSE00029,StarDrone Extreme,US,Action » General,True,success,1,0,0,12.392776489257812,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSE00029/PCSE00029_T2/502cd1680bd05b8a/UP4101-PCSE00029_00-STARDRONEEXTREME-A0101-V0101-1a0b69e69b960c8db334f2cb8ad486feaed2950f-PE.pkg,9E72A3FF4E3AFFC1ABF61E20F7183A58267A701D,12.392776489257812,UP4101-PCSE00029_00-STARDRONEEXTREME-A0101-V0101-1a0b69e69b960c8db334f2cb8ad486feaed2950f-PE.pkg,XML Direct Link
PCSC00001,Minna no Golf 6,JP,Sports » Traditional » Golf,True,success,1,0,0,587.512939453125,01.36,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC00001/PCSC00001_T45/5a6cfd157ca3831e/JP9000-PCSC00001_00-0011223344556677-A0136-V0100-ac39c56a15b1c8a30980dcd54cec0a94b60cd232-PE.pkg,241B5C46018213120C36D7EEE8B7445FF33E5010,587.512939453125,JP9000-PCSC00001_00-0011223344556677-A0136-V0100-ac39c56a15b1c8a30980dcd54cec0a94b60cd232-PE.pkg,XML Direct Link
PCSA00035,Table Soccer,US,Sports » General,True,success,1,0,0,46.69830322265625,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00035/PCSA00035_T1/d7ad37fc66c0d9d5/UP9000-PCSA00035_00-TABLESOCCERUS000-A0101-V0100-a7ad2ba2c558ed50f143ec286bf3f36ade645d4b-PE.pkg,0959305C476E10C3850AF8899CBF9DC3B3AA85CE,46.69830322265625,UP9000-PCSA00035_00-TABLESOCCERUS000-A0101-V0100-a7ad2ba2c558ed50f143ec286bf3f36ade645d4b-PE.pkg,XML Direct Link
PCSG00001,Ridge Racer,JP,Driving » Racing,True,success,1,0,0,345.6487274169922,01.04,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00001/PCSG00001_T4/7c354b8dd3f1efce/JP0700-PCSG00001_00-RIDGERACERPSVITA-A0104-V0100-340d2b258f7218165d7370299bb9c7c6fd971c27-PE.pkg,493D73A3B6B1D5BCE5D6512064A37321CF433E73,345.6487274169922,JP0700-PCSG00001_00-RIDGERACERPSVITA-A0104-V0100-340d2b258f7218165d7370299bb9c7c6fd971c27-PE.pkg,XML Direct Link
PCSB00056,A-Men,EU,Action » General,True,success,1,0,0,264.36322021484375,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00056/PCSB00056_T1/9d9405abf7f37759/EP4176-PCSB00056_00-000000000000AMEN-A0101-V0107-ec44828b33d23d335ed3f6565cd6c14ee60b7ce9-PE.pkg,97293697B01102C1A7A23E239557DBB08D5EC3FF,264.36322021484375,EP4176-PCSB00056_00-000000000000AMEN-A0101-V0107-ec44828b33d23d335ed3f6565cd6c14ee60b7ce9-PE.pkg,XML Direct Link
PCSG00011,Ultimate Marvel vs. Capcom 3,JP,Action » Fighting » 2D,True,success,1,0,0,6.7165985107421875,01.02,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00011/PCSG00011_T3/030eb781dfd652eb/JP0102-PCSG00011_00-CAPUMVC300000000-A0102-V0100-c5effee4a92ba11b748181bc526e3bd7ac9cfd40-PE.pkg,171689153D435D4F6BE719E47D5B42051F64FA20,6.7165985107421875,JP0102-PCSG00011_00-CAPUMVC300000000-A0102-V0100-c5effee4a92ba11b748181bc526e3bd7ac9cfd40-PE.pkg,XML Direct Link
