ID,Title,Region,Media_ID,Box_ID,Genre,Released
0122,Time Travelers,JP,PCSG-00062,VLJM-35014,Adventure » General,2012-07-12
0122,Sumioni: Demon Arts,EU,PCSB-00242,,Role-Playing » General,2013-01-16
0123,Jikkyou Powerful Pro Yakyuu 2012,JP,PCSG-00064,VLJM-35012,Sports » Traditional » Baseball,2012-07-19
0123,escapeVektor,US,PCSE-00095,,Miscellaneous » Puzzle,2013-01-22
0124,NextRev: FP Ginoukentei Shiken 2-Kyuu,JP,PCSG-00085,VLJS-00020,Miscellaneous » Edutainment,2012-07-26
0124,Doodle God,EU,PCSB-00185,,Miscellaneous » Board Games,2013-01-23
0125,NextRev: FP Ginoukentei Shiken 3-Kyuu,JP,PCSG-00086,VLJS-00021,Miscellaneous » Edutainment,2012-07-26
0125,Lets Fish! Hooked On,US,PCSE-00216,,Sports » Nature,2013-01-29
0126,Moe Moe Daisensou * Gendaiban++,JP,PCSG-00065,VLJS-05006,Strategy » General,2012-08-02
0126,Dokuro,EU,PCSB-00215,,Action » Platformer » 2D,2013-01-30
0127,Moe Chronicle,Unknown,PCSH-00148,VCAS-34089,Role-Playing » General,2015-05-05
0127,Lets Fish! Hooked On,EU,PCSB-00230,,Sports » Nature,2013-01-30
0128,Ginsei Shogi: Kyoutendo Toufuu Raijin,JP,PCSG-00084,VLJM-30023,Miscellaneous » Board Games,2012-08-09
0128,Bentley's Hackpack,US,PCSA-00089,,Miscellaneous » Compilation,2013-02-05
0129,Orgarhythm,JP,PCSG-00057,VLJM-30022,Miscellaneous » Rhythm,2012-08-09
0129,Bentley's Hackpack,EU,PCSF-00251,,Miscellaneous » Compilation,2013-02-06
0130,NextRev: Jouhou Security Specialist Shiken - Network Specialist Shiken,JP,PCSG-00100,VLJS-00023,Miscellaneous » Edutainment,2012-08-23
0130,Alien Breed,EU,PCSB-00231,,Action » General,2013-02-06
0131,NextRev: Takken Shiken,JP,PCSG-00099,VLJS-00024,Miscellaneous » Edutainment,2012-08-23
0131,Viking Poipoi!!,JP,PCSC-00034,,Action » General,2013-02-07
0132,Tokushu Houdoubu,JP,PCSG-00087,VLJS-00022,Adventure » General,2012-08-23
0132,Ecolibrium,US,PCSA-00087,,Miscellaneous » Virtual Life,2013-02-12
0133,Hatsune Miku: Project Diva f,JP,PCSG-00074,VLJM-35016,Miscellaneous » Rhythm,2012-08-30
0133,Alien Breed,US,PCSE-00210,,Action » General,2013-02-12
0134,MUD - FIM Motocross World Championship,EU,PCSB-00182,,Driving » Racing,2012-09-14
0134,Word Maze by POWGI,US,PCSE-01453,,Miscellaneous » Puzzle,2019-12-17
0135,LittleBigPlanet PS Vita,Unknown,PCSD-00006,VCAS-32010,Action » Platformer » 3D,2012-09-17
0135,Rocketbirds: Hardboiled Chicken,EU,PCSB-00255,,Adventure » General,2013-02-13
0136,LittleBigPlanet PS Vita,US,PCSA-00017,PCSA-22018,Action » Platformer » 3D,2012-09-18
0136,Urban Trial Freestyle,US,PCSE-00051,,Driving » Racing,2013-02-19
0137,LittleBigPlanet PS Vita,JP,PCSC-00013,VCJS-10006,Action » Platformer » 3D,2012-09-20
0137,Urban Trial Freestyle,EU,PCSB-00038,,Driving » Racing,2013-02-20
0138,DJ Max Technika Tune,Unknown,PCSH-00019,VLAS-38018,Miscellaneous » Rhythm,2012-09-20
0138,Ragnarok Odyssey,EU,PCSB-00226,,Role-Playing » Action RPG,2013-02-20
0139,LittleBigPlanet PS Vita,EU,PCSF-00021,,Action » Platformer » 3D,2012-09-21
